Gene	JD-MD_EP-WT3_NEY922A14-9_S38	JD-MD_EP-WT2_NEY922A14-8_S37	JD-MD_EP-WT1_NEY922A14-7_S36	JD-MD_EP-KO4_NEY922A14-14_S6	JD-MD_EP-KO3_NEY922A14-13_S5	JD-MD_EP-KO2_NEY922A14-12_S4	JD-MD_EP-KO1_NEY922A14-11_S3
0610005C13Rik	0	0	0	0	0	0	0
0610006L08Rik	0	0	1	0	1	0	0
0610007P14Rik	190	225	216	136	337	313	236
0610009B22Rik	90	99	83	95	161	163	135
0610009E02Rik	0	3	3	5	3	5	6
0610009L18Rik	3	23	8	11	24	21	8
0610009O20Rik	211	187	216	187	371	384	299
0610010B08Rik	0	0	0	1	0	1	1
0610010F05Rik	407	339	392	379	679	750	657
0610010K14Rik	353	668	399	367	605	513	331
0610011F06Rik	67	93	55	64	118	80	83
0610012G03Rik	262	437	272	333	589	499	401
0610025J13Rik	0	2	0	2	2	0	0
0610030E20Rik	577	482	614	384	819	1120	893
0610031O16Rik	0	0	0	0	0	0	0
0610037L13Rik	424	711	422	399	784	716	565
0610038B21Rik	0	0	0	0	1	0	0
0610039H22Rik	0	1	3	6	1	1	0
0610039K10Rik	4	5	5	7	7	8	2
0610040B10Rik	0	1	0	4	4	4	5
0610040F04Rik	39	8	31	22	39	31	24
0610040J01Rik	1	2	0	3	10	7	5
0610043K17Rik	2	1	0	5	1	5	3
1010001N08Rik	0	0	0	0	0	0	0
1100001I12Rik	0	0	0	0	0	0	0
1110001J03Rik	102	220	113	80	183	121	104
1110002J07Rik	8	10	16	12	20	12	13
1110002L01Rik	28	10	23	51	51	65	55
1110002O04Rik	0	0	0	0	0	0	0
1110004E09Rik	114	129	110	135	210	217	178
1110004F10Rik	721	792	687	722	1356	1363	1087
1110006O24Rik	1	1	8	2	4	2	4
1110008F13Rik	1410	2103	1496	1570	3353	3055	2470
1110008L16Rik	119	100	110	80	188	216	156
1110008P14Rik	347	446	329	345	581	608	437
1110012L19Rik	95	201	118	101	220	185	186
1110015O18Rik	0	0	0	0	0	0	0
1110017D15Rik	5	11	11	6	26	16	33
1110018N20Rik	3	1	0	0	3	3	1
1110019D14Rik	8	21	11	10	32	37	21
1110020A21Rik	2	0	1	1	0	3	2
1110025L11Rik	0	0	0	0	0	0	0
1110028F11Rik	0	0	0	0	0	1	1
1110028F18Rik	0	0	0	0	0	0	1
1110032A03Rik	129	136	114	127	185	240	156
1110032F04Rik	17	13	14	17	24	18	10
1110034G24Rik	146	207	166	152	273	236	183
1110036E04Rik	0	0	0	0	0	0	0
1110037F02Rik	1405	924	1432	1133	1953	2550	1995
1110038B12Rik	174	373	185	179	343	237	238
1110038F14Rik	196	319	197	254	443	385	302
1110046J04Rik	4	19	13	25	43	32	23
1110051M20Rik	354	351	328	312	582	565	466
1110057P08Rik	0	0	0	0	0	0	0
1110058D11Rik	0	0	0	0	1	0	0
1110059E24Rik	237	341	241	244	455	418	327
1110059G10Rik	181	224	187	182	395	351	247
1110065P20Rik	83	110	70	62	155	131	104
1190002N15Rik	178	90	166	127	196	194	189
1190003K10Rik	0	3	0	0	0	0	0
1190005I06Rik	0	6	2	4	3	8	0
1190007I07Rik	37	37	40	33	54	53	42
1190028D05Rik	0	0	0	0	0	0	0
1300002E11Rik	77	126	101	81	169	198	135
1300017J02Rik	0	0	0	0	1	1	1
1500002F19Rik	7	2	3	3	5	4	3
1500004A13Rik	0	0	0	2	3	4	2
1500009C09Rik	0	0	0	0	0	0	0
1500009L16Rik	0	0	0	0	0	0	1
1500011B03Rik	34	21	25	16	62	41	43
1500011K16Rik	127	320	121	150	313	222	202
1500012K07Rik	0	2	2	2	0	1	0
1500015A07Rik	17	26	23	15	38	45	29
1500015L24Rik	0	0	0	0	0	0	0
1500015O10Rik	0	0	0	0	0	0	0
1500017E21Rik	0	0	0	0	0	0	0
1500026H17Rik	0	1	0	0	5	2	3
1500035N22Rik	0	0	0	0	0	0	0
1520401A03Rik	2	0	1	0	4	2	1
1600002D24Rik	0	0	0	0	0	0	0
1600002H07Rik	53	63	68	55	135	100	98
1600002K03Rik	91	185	81	104	183	115	97
1600010M07Rik	24	71	26	20	56	45	45
1600012H06Rik	615	507	586	506	936	1076	795
1600014C10Rik	1007	999	988	941	1698	1820	1426
1600014C23Rik	0	0	0	0	0	0	0
1600015I10Rik	0	0	0	0	0	0	0
1600019K03Rik	0	0	0	0	0	0	0
1600020E01Rik	65	130	99	75	126	133	123
1600023N17Rik	0	0	0	2	1	0	3
1600025M17Rik	0	0	0	0	0	0	0
1600027J07Rik	0	0	0	0	0	0	0
1600029I14Rik	0	0	0	0	0	0	3
1600029O15Rik	0	0	0	0	0	0	0
1700001C02Rik	0	2	0	0	0	0	0
1700001C19Rik	0	0	0	0	2	0	1
1700001D01Rik	0	0	0	0	0	0	0
1700001F09Rik	0	0	0	0	0	0	0
1700001G01Rik	0	0	0	1	1	0	1
1700001G11Rik	0	0	2	2	4	1	5
1700001G17Rik	1	0	0	0	0	0	0
1700001J03Rik	4	11	2	8	7	3	7
1700001J11Rik	0	0	0	0	0	0	0
1700001K19Rik	0	0	0	0	0	0	0
1700001K23Rik	1	6	3	8	37	16	13
1700001L05Rik	38	24	45	24	66	65	68
1700001L19Rik	0	1	3	0	0	0	0
1700001O22Rik	0	0	0	0	0	0	0
1700001P01Rik	0	0	1	0	2	6	0
1700003C15Rik	0	0	0	0	0	0	0
1700003D09Rik	0	0	0	0	0	0	1
1700003E16Rik	0	0	1	2	0	0	1
1700003E24Rik	0	0	0	0	0	0	0
1700003F12Rik	15	41	32	28	64	57	55
1700003G13Rik	0	0	0	0	0	0	0
1700003G18Rik	0	0	0	0	0	0	0
1700003H04Rik	0	0	0	0	0	0	0
1700003I22Rik	0	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	0	0	0
1700003M07Rik	1	0	0	1	0	0	0
1700003P14Rik	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	0	0	0
1700006F04Rik	0	0	0	0	0	0	0
1700006H20Rik	0	0	0	0	0	0	0
1700006H21Rik	0	0	0	0	0	0	0
1700007B14Rik	0	0	0	0	0	0	0
1700007E05Rik	0	3	1	1	2	0	1
1700007F19Rik	0	0	0	0	0	0	0
1700007G11Rik	0	1	2	1	3	2	2
1700007J10Rik	10	2	8	3	3	2	6
1700007K09Rik	0	0	0	0	4	0	0
1700007K13Rik	1	1	0	1	2	1	0
1700007L15Rik	5	5	1	2	8	6	6
1700007P06Rik	0	0	0	0	0	0	0
1700008C04Rik	0	0	0	0	0	0	0
1700008J07Rik	16	14	11	17	32	32	16
1700008K24Rik	0	0	0	0	0	0	0
1700008O03Rik	1	2	0	3	2	1	3
1700008P02Rik	0	0	0	0	0	0	0
1700009C05Rik	0	0	0	0	0	0	0
1700009J07Rik	0	0	0	0	1	0	1
1700009N14Rik	0	0	0	0	0	0	0
1700010B08Rik	0	0	0	0	0	0	0
1700010D01Rik	0	0	0	0	0	0	0
1700010I02Rik	0	0	0	0	0	0	0
1700010I14Rik	8	15	11	12	39	16	23
1700010J16Rik	0	0	0	0	0	0	0
1700010K23Rik	0	1	0	0	0	0	1
1700010L04Rik	3	1	0	2	1	0	2
1700010N08Rik	0	0	0	0	0	0	0
1700011B04Rik	0	0	0	2	0	3	0
1700011C11Rik	0	0	0	0	0	0	0
1700011E24Rik	0	0	0	0	0	1	0
1700011H14Rik	0	0	0	0	0	0	0
1700011I03Rik	0	0	0	0	0	0	0
1700011L22Rik	2	2	2	2	2	3	0
1700011M02Rik	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0
1700012B07Rik	0	0	0	0	0	0	0
1700012B09Rik	0	0	0	0	0	0	0
1700012C14Rik	2	0	0	0	0	0	3
1700012D01Rik	4	8	7	2	5	13	8
1700012D14Rik	2	0	3	0	2	1	0
1700012D16Rik	0	0	0	0	0	0	0
1700012H19Rik	0	0	0	0	0	0	0
1700012I11Rik	0	0	0	1	1	0	1
1700012J15Rik	0	0	0	0	0	0	0
1700012L04Rik	0	0	0	0	0	0	0
1700012P22Rik	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	1
1700013F07Rik	0	0	0	0	1	0	0
1700013G24Rik	0	0	0	0	0	0	0
1700013H16Rik	0	1	1	0	0	1	0
1700013N06Rik	0	0	0	0	0	0	0
1700015C15Rik	0	0	0	0	0	0	0
1700015E13Rik	0	0	0	0	0	0	0
1700015F17Rik	0	0	1	2	1	0	0
1700015G11Rik	0	0	0	0	0	0	0
1700016A09Rik	4	0	5	0	4	5	1
1700016B01Rik	0	0	2	0	1	0	0
1700016C15Rik	0	0	0	0	0	1	0
1700016C19Rik	0	0	0	0	0	0	0
1700016D06Rik	0	0	0	0	1	0	0
1700016G14Rik	0	0	0	0	0	0	4
1700016G22Rik	1	0	0	0	1	0	0
1700016H13Rik	0	0	0	0	0	0	0
1700016J18Rik	0	0	0	0	0	0	0
1700016K19Rik	0	0	0	0	0	2	1
1700016L04Rik	0	0	0	0	2	0	0
1700016L21Rik	0	0	0	0	0	0	0
1700016P04Rik	0	0	0	0	0	0	0
1700017B05Rik	1201	749	1151	1043	1916	2163	1713
1700017D01Rik	3	1	0	1	0	0	0
1700017G19Rik	0	0	0	0	0	1	0
1700017J07Rik	0	0	0	0	0	0	1
1700017L05Rik	0	0	0	0	0	0	0
1700017M07Rik	1	0	1	1	0	1	0
1700017N19Rik	0	2	0	1	1	0	0
1700018A04Rik	0	0	0	0	0	0	0
1700018A23Rik	0	7	1	2	5	4	3
1700018B08Rik	0	0	0	0	0	0	0
1700018B24Rik	0	0	0	0	0	0	0
1700018C11Rik	0	0	0	0	1	2	0
1700018F24Rik	0	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	0	0	0
1700018L02Rik	5	2	2	4	7	2	0
1700019A02Rik	2	3	0	0	2	0	0
1700019B03Rik	8	4	0	1	4	2	4
1700019B21Rik	0	0	0	0	0	0	0
1700019C18Rik	0	0	0	0	0	0	0
1700019D03Rik	2	0	0	4	5	0	0
1700019E08Rik	0	0	0	0	0	0	0
1700019F05Rik	0	0	0	0	0	0	0
1700019G24Rik	0	0	0	1	0	0	0
1700019J19Rik	0	0	0	0	0	0	0
1700019L22Rik	0	4	3	1	1	1	0
1700019M22Rik	0	0	0	0	0	0	0
1700019N19Rik	0	0	0	0	0	0	0
1700019O17Rik	0	0	0	0	0	0	0
1700019P21Rik	0	0	0	0	0	0	0
1700020A23Rik	0	0	0	0	0	0	0
1700020D05Rik	7	2	12	2	15	9	7
1700020D12Rik	0	0	0	0	0	0	0
1700020D14Rik	0	0	0	0	0	0	0
1700020G17Rik	0	0	0	0	0	0	0
1700020I14Rik	420	416	427	399	658	899	651
1700020L24Rik	5	10	9	1	10	16	6
1700020M21Rik	0	0	0	0	0	0	0
1700020N01Rik	9	14	17	18	32	25	12
1700020N15Rik	0	0	0	0	1	0	0
1700020N18Rik	0	0	0	1	0	1	0
1700021F02Rik	0	0	0	0	0	0	0
1700021F05Rik	188	307	163	222	396	316	247
1700021F07Rik	0	0	0	0	0	0	0
1700021L23Rik	0	0	0	1	0	0	0
1700021N21Rik	0	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0	0
1700022A22Rik	0	0	0	0	0	0	0
1700022E09Rik	0	0	0	0	0	0	0
1700022H01Rik	0	0	0	0	0	0	0
1700022H16Rik	0	0	0	0	0	0	0
1700022I11Rik	0	0	0	0	0	0	0
1700022N22Rik	3	11	9	4	21	17	10
1700023C21Rik	0	0	0	0	0	0	0
1700023F02Rik	0	4	0	5	0	0	0
1700023F06Rik	0	0	0	1	0	0	0
1700023G09Rik	0	0	0	0	0	0	0
1700024B05Rik	0	0	0	0	0	0	0
1700024B18Rik	0	0	0	0	0	0	0
1700024F13Rik	0	0	0	0	0	0	0
1700024G13Rik	0	2	0	0	0	1	0
1700024I08Rik	0	0	0	0	0	0	0
1700024N05Rik	0	0	0	0	0	0	0
1700024P04Rik	0	0	0	0	0	0	0
1700024P16Rik	0	1	3	2	0	1	1
1700025B11Rik	0	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0	0
1700025D23Rik	0	0	0	0	0	0	0
1700025F22Rik	0	0	0	0	0	0	1
1700025F24Rik	0	0	0	0	0	0	0
1700025G04Rik	13	5	8	23	53	72	33
1700025J12Rik	0	0	0	0	0	0	0
1700025K04Rik	0	0	0	0	0	0	0
1700025K24Rik	0	0	0	0	0	0	0
1700025M24Rik	0	0	0	0	2	0	0
1700025N23Rik	0	2	1	0	1	0	1
1700026D11Rik	0	0	0	0	0	0	0
1700026F02Rik	0	0	0	0	0	0	0
1700026J12Rik	0	0	0	2	0	0	0
1700026J14Rik	0	0	0	0	0	0	0
1700027A15Rik	0	0	0	0	0	0	0
1700027F06Rik	0	0	0	0	0	0	0
1700027F09Rik	0	0	0	0	0	0	0
1700027H10Rik	0	0	0	0	0	0	0
1700027I24Rik	0	0	0	0	0	0	0
1700027J07Rik	0	0	0	0	2	0	0
1700028B04Rik	0	0	0	0	0	0	0
1700028D13Rik	0	0	0	0	0	0	0
1700028E10Rik	3	3	11	0	11	12	11
1700028I16Rik	0	0	0	0	0	0	0
1700028J19Rik	5	7	2	11	10	11	12
1700028K03Rik	0	0	0	0	1	0	0
1700028M03Rik	0	0	0	0	0	0	0
1700028P14Rik	1	0	2	0	0	0	1
1700028P15Rik	0	0	0	0	0	0	0
1700029B22Rik	0	0	0	0	0	0	0
1700029F12Rik	0	0	0	0	0	0	1
1700029H14Rik	3	0	4	4	3	4	2
1700029I15Rik	15	18	20	9	46	39	34
1700029J03Rik	0	0	0	1	0	0	0
1700029J07Rik	4	1	4	2	1	5	1
1700029M03Rik	0	0	0	0	0	0	0
1700029M20Rik	0	0	0	0	0	0	0
1700029N11Rik	0	0	0	0	0	0	0
1700029P11Rik	0	0	0	0	0	0	0
1700030A11Rik	0	0	0	0	0	0	0
1700030C10Rik	22	16	19	20	60	66	60
1700030C12Rik	5	3	4	2	11	6	7
1700030C14Rik	1	0	0	0	0	1	0
1700030F04Rik	0	0	0	0	0	0	0
1700030F18Rik	0	0	0	1	0	0	0
1700030J22Rik	4	4	3	12	8	15	11
1700030K09Rik	37	32	43	60	105	85	78
1700030L20Rik	0	0	0	0	0	0	0
1700030L22Rik	0	0	0	0	0	0	0
1700030M09Rik	0	0	0	0	0	0	0
1700030N03Rik	0	0	0	0	0	0	0
1700030O20Rik	0	0	0	0	0	0	0
1700031A10Rik	0	0	0	0	0	0	0
1700031F05Rik	0	4	0	0	0	0	0
1700031L13Rik	0	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0	0
1700031P21Rik	0	0	0	0	0	0	0
1700034B16Rik	0	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0	0
1700034G24Rik	0	0	0	0	0	0	0
1700034H15Rik	11	4	20	16	16	22	13
1700034I23Rik	0	0	0	0	0	0	0
1700034J05Rik	0	0	0	0	0	2	0
1700034K08Rik	0	0	3	0	0	0	0
1700034O15Rik	0	0	0	0	0	0	0
1700034P13Rik	4	5	7	4	16	10	7
1700036A12Rik	0	0	0	0	0	0	0
1700036G14Rik	0	0	0	0	0	0	0
1700037C18Rik	14	60	30	26	39	42	33
1700037H04Rik	284	397	269	410	678	641	491
1700039E15Rik	0	0	0	0	0	0	0
1700039E22Rik	0	0	0	0	0	0	0
1700039I01Rik	0	0	0	0	0	0	0
1700039M10Rik	0	0	0	0	0	0	0
1700040D17Rik	0	2	0	3	3	2	5
1700040L02Rik	1	1	1	0	0	0	0
1700041A01Rik	0	2	1	0	0	0	0
1700041B01Rik	0	0	0	0	0	0	0
1700041C23Rik	0	0	0	0	0	0	0
1700041M19Rik	0	0	0	0	0	0	0
1700042G07Rik	0	0	0	0	0	1	0
1700042G15Rik	0	0	0	0	0	1	0
1700042O10Rik	0	0	0	0	0	1	0
1700044C05Rik	0	0	0	0	0	0	0
1700044K03Rik	0	0	0	0	0	0	0
1700045H11Rik	0	0	0	3	2	0	0
1700046C09Rik	0	0	0	0	0	0	0
1700047A11Rik	0	1	0	2	0	0	0
1700047E10Rik	0	0	0	0	0	0	0
1700047G03Rik	1	0	0	1	0	0	0
1700047I17Rik2	54	8	13	24	90	7	46
1700047L14Rik	0	0	0	0	0	0	0
1700047M11Rik	0	0	0	0	0	0	0
1700048B10Rik	0	0	0	0	0	0	0
1700048F04Rik	0	0	0	0	0	0	0
1700048M11Rik	0	0	0	0	0	0	0
1700048O14Rik	0	0	0	0	0	0	0
1700048O20Rik	1	0	0	0	0	0	0
1700049E15Rik	0	0	0	1	0	0	0
1700049E17Rik1	0	0	0	0	0	0	0
1700049E17Rik2	0	0	0	0	0	0	0
1700049E22Rik	0	0	0	0	0	0	1
1700049G17Rik	18	25	32	17	44	47	40
1700049J03Rik	0	0	0	0	0	0	0
1700049L16Rik	0	0	0	0	0	0	0
1700051A21Rik	0	0	0	0	0	0	0
1700052H01Rik	0	0	0	0	0	0	0
1700052I22Rik	0	0	0	0	0	0	0
1700052K11Rik	25	14	19	24	52	52	30
1700054A03Rik	0	0	0	0	0	0	0
1700054K19Rik	0	0	0	0	0	0	0
1700054M17Rik	0	0	0	0	1	0	0
1700054O19Rik	0	0	0	0	0	0	0
1700055C04Rik	0	0	0	0	0	0	0
1700055D18Rik	0	0	2	4	0	0	1
1700056E22Rik	3	0	6	5	7	5	7
1700057G04Rik	0	0	0	0	0	2	0
1700057H15Rik	0	5	0	3	0	9	0
1700057H21Rik	0	0	0	0	0	0	0
1700060C16Rik	0	0	0	0	0	0	0
1700060C20Rik	0	0	0	0	0	0	0
1700061F12Rik	0	0	0	0	0	0	0
1700061G19Rik	37	45	39	26	66	75	46
1700061I17Rik	0	0	0	0	2	0	0
1700061J23Rik	0	0	0	0	0	0	0
1700062C10Rik	0	0	0	0	0	0	0
1700063A18Rik	0	0	0	0	0	0	0
1700063D05Rik	0	0	0	0	0	0	1
1700063H04Rik	0	0	0	0	0	0	0
1700063H06Rik	0	0	0	0	0	0	0
1700063O14Rik	0	0	0	0	0	0	0
1700064F23Rik	0	0	0	0	0	0	0
1700064J06Rik	0	0	0	0	0	0	0
1700064M15Rik	0	0	1	3	1	3	0
1700065D16Rik	6	0	1	0	2	0	0
1700065I16Rik	0	0	0	0	0	0	0
1700065J11Rik	0	0	0	0	0	0	0
1700065J18Rik	0	0	0	0	0	0	0
1700065L07Rik	0	0	0	0	0	0	0
1700065O20Rik	0	0	0	0	0	0	0
1700066B17Rik	0	2	0	0	0	0	0
1700066B19Rik	0	4	2	0	11	11	0
1700066C05Rik	0	0	0	0	0	0	0
1700066J03Rik	0	0	0	0	0	0	0
1700066M21Rik	57	59	53	53	107	132	104
1700066N21Rik	0	0	0	0	0	0	0
1700066O22Rik	0	0	0	0	0	0	0
1700067G17Rik	0	0	1	1	2	0	0
1700067K01Rik	1	0	1	0	0	3	4
1700067P10Rik	0	0	0	0	0	0	0
1700069L16Rik	0	0	0	0	0	0	0
1700069P05Rik	0	0	0	0	0	0	0
1700071G01Rik	0	0	0	0	0	0	0
1700071K01Rik	0	0	0	0	0	0	0
1700071M16Rik	1	0	2	0	0	2	1
1700072B07Rik	0	0	0	0	0	0	0
1700072I22Rik	0	0	0	0	0	0	0
1700072O05Rik	0	0	0	0	0	1	0
1700073E17Rik	0	0	0	0	0	0	0
1700074H08Rik	0	0	0	0	0	0	0
1700074P13Rik	0	0	0	0	0	0	0
1700080E11Rik	0	0	0	0	0	0	0
1700080G11Rik	0	0	0	0	1	0	0
1700080G18Rik	4	3	2	0	2	10	4
1700080N15Rik	0	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0	0
1700081B01Rik	0	0	0	0	0	0	0
1700081H04Rik	0	0	0	0	0	0	0
1700083H02Rik	0	0	0	0	0	0	0
1700084D21Rik	0	0	0	0	0	1	0
1700084E18Rik	1	0	0	1	1	1	1
1700084F23Rik	0	0	0	0	0	0	0
1700084J12Rik	1	0	0	0	0	0	0
1700084M14Rik	0	0	0	0	0	0	0
1700085C21Rik	0	0	0	0	0	0	0
1700086D15Rik	0	0	0	0	0	0	0
1700086L19Rik	0	0	0	0	0	0	0
1700086O06Rik	6	10	14	7	16	18	9
1700086P04Rik	1	0	2	0	1	3	2
1700087I21Rik	12	22	19	14	26	28	12
1700087M22Rik	0	0	0	0	0	0	0
1700088E04Rik	3	2	2	4	4	3	3
1700091H14Rik	0	0	0	0	0	0	0
1700092C02Rik	0	0	0	0	0	0	0
1700092C10Rik	0	0	0	0	0	0	0
1700092E19Rik	0	0	0	0	0	0	0
1700092K14Rik	0	0	0	0	0	0	0
1700092M07Rik	0	0	1	2	1	2	4
1700093K21Rik	0	0	0	0	0	0	0
1700094D03Rik	40	54	39	42	72	60	57
1700094J05Rik	1	1	3	2	4	4	0
1700094M23Rik	0	1	0	2	0	2	1
1700094M24Rik	0	0	0	0	0	0	0
1700095A13Rik	0	0	0	0	0	0	0
1700095A21Rik	0	0	0	0	0	0	0
1700095B10Rik	0	0	0	0	0	0	0
1700095J03Rik	0	0	0	0	0	0	0
1700095J12Rik	0	0	0	0	0	0	0
1700096J18Rik	0	0	0	0	0	0	0
1700096K18Rik	17	21	15	5	22	42	13
1700096P03Rik	0	0	0	0	0	0	0
1700097N02Rik	0	1	1	0	1	0	0
1700099I09Rik	1	1	0	3	1	2	1
1700100I10Rik	2	3	0	1	1	0	0
1700100L14Rik	0	0	0	0	0	0	0
1700101G07Rik	0	0	0	0	0	0	0
1700101I11Rik	16	35	11	13	18	20	26
1700101O22Rik	0	0	0	0	0	0	0
1700102H20Rik	0	1	2	0	1	4	0
1700102J08Rik	0	0	0	0	0	0	0
1700102P08Rik	7	13	26	2	7	10	10
1700104L18Rik	0	0	0	0	0	0	0
1700105P06Rik	0	0	0	0	0	0	0
1700108F19Rik	0	0	0	0	0	0	0
1700108J01Rik	0	0	0	0	0	0	0
1700108N06Rik	0	0	0	0	0	0	0
1700109G14Rik	0	0	0	0	0	0	0
1700109G15Rik	0	0	0	0	0	0	0
1700109H08Rik	13	23	21	17	17	24	29
1700109I08Rik	0	0	0	0	0	0	0
1700109K24Rik	0	0	0	0	0	0	0
1700110C19Rik	0	0	0	3	0	0	0
1700110I01Rik	0	0	0	0	0	0	0
1700110I07Rik	0	0	0	0	0	0	0
1700110K17Rik	3	1	4	10	3	2	10
1700111N16Rik	0	0	0	1	0	0	0
1700112D23Rik	0	3	0	1	0	0	1
1700112E06Rik	301	478	338	291	590	524	432
1700112H15Rik	1	2	0	0	6	0	3
1700112J05Rik	0	0	0	0	0	0	1
1700112J16Rik	1	0	0	1	0	0	1
1700112N08Rik	0	0	0	0	0	0	0
1700113A16Rik	12	13	9	13	15	11	14
1700113B09Rik	0	0	0	1	0	0	0
1700113H08Rik	0	0	0	0	0	0	0
1700116B05Rik	0	0	0	0	0	0	1
1700116H05Rik	0	0	0	3	0	0	0
1700119H24Rik	0	0	0	0	0	0	0
1700120C14Rik	0	5	0	2	2	2	3
1700120E14Rik	0	0	0	0	0	0	0
1700120G07Rik	0	0	0	0	0	0	0
1700120K04Rik	0	0	0	0	0	1	1
1700121L16Rik	0	0	0	0	0	0	0
1700121N20Rik	0	0	0	0	0	0	0
1700122C19Rik	0	0	0	0	0	0	0
1700122E12Rik	2	2	1	5	1	6	2
1700122H20Rik	0	0	0	0	0	0	0
1700122O11Rik	0	0	0	0	0	0	0
1700123J17Rik	0	4	1	1	2	0	1
1700123K08Rik	0	0	0	0	0	0	0
1700123L14Rik	0	0	0	0	0	0	0
1700123M08Rik	10	14	1	7	11	10	5
1700123O12Rik	0	0	0	0	0	0	0
1700123O20Rik	292	315	326	306	586	547	483
1700123O21Rik	0	0	0	2	0	1	1
1700124L16Rik	0	0	0	0	1	0	0
1700124M09Rik	0	0	1	0	0	0	0
1700125G02Rik	0	0	0	0	0	0	0
1700125G22Rik	0	0	0	0	0	0	0
1700125H03Rik	0	0	0	0	0	0	0
1700125H20Rik	2	1	5	3	2	1	1
1700126G02Rik	0	0	0	0	0	0	0
1700126H18Rik	0	0	0	1	0	0	0
1700128A07Rik	0	0	0	0	0	0	0
1700128E19Rik	0	0	0	0	1	0	0
1700128F08Rik	0	0	0	0	0	0	0
1700129C05Rik	0	0	0	0	0	0	0
1810006J02Rik	0	0	0	6	1	1	0
1810007C17Rik	0	0	0	0	0	0	0
1810007D17Rik	0	0	0	0	0	0	0
1810008I18Rik	0	0	0	0	1	0	0
1810009A15Rik	2	1	3	0	1	1	1
1810009J06Rik	0	0	0	0	0	0	0
1810010D01Rik	4	4	9	1	1	9	3
1810010H24Rik	12	27	6	16	17	21	12
1810011H11Rik	486	729	473	550	1178	1073	759
1810011O10Rik	730	301	264	625	1000	1057	666
1810012K16Rik	0	0	0	0	0	0	0
1810013A23Rik	1	1	0	1	2	3	2
1810013D15Rik	0	0	0	0	0	0	0
1810013L24Rik	1674	1306	1800	1527	2875	3355	2709
1810014B01Rik	0	2	1	2	5	2	1
1810018F18Rik	1	0	0	0	1	1	0
1810019D21Rik	2	3	1	3	6	4	0
1810019N24Rik	0	2	0	0	2	1	2
1810020O05Rik	0	1	1	0	0	0	0
1810021B22Rik	2	3	1	6	2	3	6
1810021M19Rik	0	0	0	0	0	0	0
1810022K09Rik	337	643	282	272	563	513	412
1810024B03Rik	16	20	9	7	20	18	5
1810026B05Rik	205	435	289	308	402	457	334
1810026J23Rik	420	404	432	470	870	994	737
1810030O07Rik	998	1008	1101	787	1519	1684	1289
1810032O08Rik	106	213	155	108	247	203	182
1810034E14Rik	25	38	8	26	43	45	36
1810035K13Rik	0	0	0	0	0	0	0
1810037I17Rik	1237	3407	1431	1751	2946	2414	1852
1810041H14Rik	0	1	3	0	0	3	0
1810041L15Rik	0	0	0	0	0	0	0
1810043G02Rik	143	250	140	165	295	272	226
1810043H04Rik	116	226	151	101	243	221	167
1810044D09Rik	0	8	3	6	17	7	4
1810046K07Rik	0	0	0	0	0	0	0
1810049I09Rik	0	0	0	0	0	0	0
1810053B23Rik	0	0	0	0	0	0	0
1810055G02Rik	214	129	182	170	294	335	229
1810058I24Rik	562	823	591	623	1211	1091	880
1810062G17Rik	4	1	8	3	5	3	2
1810062O18Rik	9	3	9	1	9	5	11
1810063I02Rik	0	0	0	0	0	0	0
1810064F22Rik	0	1	0	1	0	1	0
1810065E05Rik	0	0	0	0	0	0	0
1810073O08Rik	1	0	0	0	0	0	0
2010001A14Rik	3	10	18	7	21	10	9
2010003K11Rik	0	0	0	0	0	0	0
2010005H15Rik	4	14	5	2	17	5	8
2010009K17Rik	0	0	0	0	1	0	0
2010010A06Rik	0	0	0	0	0	1	0
2010016I18Rik	96	61	78	53	128	172	131
2010106C02Rik	0	0	0	0	0	0	0
2010106E10Rik	0	0	0	1	0	0	0
2010107E04Rik	1086	4112	1298	1500	3077	2203	1764
2010107G12Rik	1	1	3	0	6	6	1
2010107G23Rik	2	8	4	8	9	13	4
2010109A12Rik	10	14	16	6	6	6	4
2010109I03Rik	0	2	0	1	5	4	1
2010110K18Rik	0	3	1	3	6	1	2
2010111I01Rik	825	900	805	1859	3396	3876	3048
2010203P06Rik	0	1	1	0	2	3	0
2010204K13Rik	2	0	8	0	2	1	3
2010300C02Rik	0	0	1	0	0	3	2
2010308F09Rik	0	2	0	0	0	0	0
2010310C07Rik	0	0	1	0	2	0	2
2010315B03Rik	43	31	44	34	66	92	87
2010320M18Rik	32	69	31	36	83	65	48
2010320O07Rik	0	0	1	0	6	1	0
2200002D01Rik	8	6	2	12	16	12	10
2200002J24Rik	0	0	0	0	0	0	0
2210008F06Rik	5	31	6	13	31	23	14
2210010C04Rik	0	2	0	0	0	0	0
2210011C24Rik	2	1	4	1	6	1	2
